"Horodateur","Sur dix cours magistraux prévus de 8h à 10h, vous estimez être présent(e) combien de fois?","Même question pour des cours de 10h à 12h","Même question de 14h à 16h","Même question de 16h à 18h","Dans quelle école ou partie de Rennes 1 étudiez-vous?","En quelle année êtes-vous?"
"2019/01/11 3:21:24 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 3:22:26 PM UTC+2","3","5","9","9","Science et Propriété de la Matière (SPM)","L1"
"2019/01/11 3:22:37 PM UTC+2","10","10","10","9","École Supérieure d'Ingénieurs de Rennes (ESIR)","L1"
"2019/01/11 3:22:49 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:23:00 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","M1"
"2019/01/11 3:23:15 PM UTC+2","8","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 3:23:20 PM UTC+2","8","10","10","8","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 3:23:26 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 3:23:41 PM UTC+2","4","9","9","6","Informatique (ISTIC)","M2"
"2019/01/11 3:23:52 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L2"
"2019/01/11 3:25:23 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:25:46 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L1"
"2019/01/11 3:26:10 PM UTC+2","1","3","2","1","Informatique (ISTIC)","M2"
"2019/01/11 3:26:20 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:26:29 PM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 3:26:45 PM UTC+2","8","10","10","8","Science et Propriété de la Matière (SPM)","L3"
"2019/01/11 3:26:56 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:27:00 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 3:27:06 PM UTC+2","6","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 3:27:11 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 3:27:14 PM UTC+2","9","10","10","10","Mathématiques","M2"
"2019/01/11 3:27:25 PM UTC+2","9","10","10","9","Science et Propriété de la Matière (SPM)","M1"
"2019/01/11 3:27:31 PM UTC+2","10","10","8","10","Informatique (ISTIC)","L1"
"2019/01/11 3:28:08 PM UTC+2","10","10","10","10","Philosophie","M1"
"2019/01/11 3:28:28 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 3:28:32 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 3:28:39 PM UTC+2","8","10","10","10","Informatique (ISTIC)","M1"
"2019/01/11 3:28:44 PM UTC+2","3","8","8","8","Science et Propriété de la Matière (SPM)","L1"
"2019/01/11 3:28:47 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:28:50 PM UTC+2","4","9","9","5","Informatique (ISTIC)","M1"
"2019/01/11 3:28:56 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L3"
"2019/01/11 3:29:04 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:29:11 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:29:14 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:29:17 PM UTC+2","10","10","10","10","Informatique (ISTIC)","M2"
"2019/01/11 3:29:19 PM UTC+2","3","8","10","10","Mathématiques","L3"
"2019/01/11 3:29:37 PM UTC+2","4","7","9","4","Informatique (ISTIC)","M1"
"2019/01/11 3:29:47 PM UTC+2","10","10","10","10","Mathématiques","L3"
"2019/01/11 3:30:03 PM UTC+2","10","10","10","8","École Supérieure d'Ingénieurs de Rennes (ESIR);Informatique (ISTIC)","L1"
"2019/01/11 3:30:35 PM UTC+2","10","10","10","10","École Supérieure d'Ingénieurs de Rennes (ESIR);Informatique (ISTIC)","L1"
"2019/01/11 3:30:41 PM UTC+2","9","10","10","10","Science et Propriété de la Matière (SPM)","M1"
"2019/01/11 3:31:15 PM UTC+2","7","7","7","4","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 3:31:18 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L1"
"2019/01/11 3:31:19 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L2"
"2019/01/11 3:31:31 PM UTC+2","10","10","10","10","Mathématiques","L2"
"2019/01/11 3:31:38 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:31:44 PM UTC+2","5","7","8","7","École Supérieure d'Ingénieurs de Rennes (ESIR);Informatique (ISTIC)","L2"
"2019/01/11 3:32:02 PM UTC+2","6","7","9","9","Informatique (ISTIC)","L3"
"2019/01/11 3:32:04 PM UTC+2","6","8","8","6","Informatique (ISTIC)","L2"
"2019/01/11 3:32:06 PM UTC+2","8","10","10","8","Science de la vie et de l'environnement (SVE)","M1"
